Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
5,-0.2312081394133653,-9.463256885425388
5.649113549127111,-0.2470204582668948,-8.609198131776566
6.382496778186313,-0.2647559110740026,-7.79295490055587
7.211089805382488,-0.2844161160495474,-7.021497684334184
8.14725302471172,-0.3059875710489364,-6.296172651706829
9.204951490013181,-0.330081082104745,-5.626793574783726
10.39996323625825,-0.3559427980646873,-5.014422301609503
11.75011464567409,-0.3818584524264217,-4.46104573251545
13.27554636973485,-0.4095161165308309,-3.968589576149153
14.99901377386691,-0.4352962784172932,-3.53470721357084
16.94622638669915,-0.4613060498826868,-3.161081180553118
19.1462314175355,-0.4841162481270214,-2.837495479970041
21.63184706310465,-0.5049885891271337,-2.563523794051787
24.44015206736599,-0.5243791267514405,-2.334906687999805
27.6130388372969,-0.5413045582977754,-2.143056718199591
31.19783836566941,-0.554518842328787,-1.982596777119178
35.24802628299614,-0.5683244272957384,-1.852924072949274
39.82402057105248,-0.5776185779846966,-1.743491382909736
44.99408283772978,-0.5856664038820529,-1.652241833173219
50.83533659783349,-0.5936640239270978,-1.578184607836687
57.4349177498517,-0.5999499245570137,-1.517738761429516
64.89127441073782,-0.6055265705560007,-1.466204632467962
73.31563549876489,-0.6085286581924483,-1.421780018204478
82.83366997178746,-0.6115492782430506,-1.385829815231336
93.58736147230982,-0.6149180855777782,-1.354909478719002
105.7371263440564,-0.6172203188798588,-1.328447118590019
119.464206615195,-0.6188196740747445,-1.305802790682324
134.9733736451237,-0.62023298586293,-1.28666490713935
152.4959827660131,-0.6215999397512408,-1.270237692496721
172.293424486188,-0.6227301659289184,-1.255670477153807
194.6610237380868,-0.6241551744616315,-1.243803383607183
219.9324453371561,-0.6254642937826063,-1.234044089394498
248.4846713693576,-0.6253345139244335,-1.224116857203416
280.7436247566073,-0.6264475940183045,-1.21663012655624
317.1905228887219,-0.6265781719175136,-1.208748338033959
358.3690561010781,-0.6283059468930295,-1.204704898017705
404.8934980816992,-0.6277551795518383,-1.198543173960189
457.4578691933603,-0.6285130042210263,-1.194333233561589
516.8462894030058,-0.6290345453987289,-1.190707335628046
583.9446752565192,-0.6279573347659352,-1.185951036816286
659.7539553864474,-0.6289577395331805,-1.184578837192318
745.4050016927559,-0.6281451329627277,-1.181040681368168
842.1754989299338,-0.6302711540661647,-1.180721393284085
951.5090043495958,-0.6286977329043147,-1.177623719056877
1075.036481717551,-0.6304779130390924,-1.177598833267161
1214.600630935312,-0.6282985497010485,-1.17481420907328
1372.283376199003,-0.6304513393899275,-1.175338803101298
1550.436922745538,-0.6292912334524707,-1.174273686125995
1751.718845469755,-0.6304418820235571,-1.174101037397673
1979.131732840898,-0.6280868273537586,-1.171980039989424
2236.067977499789,-0.628279225164971,-1.171141635963582
2526.360381692666,-0.6271609356709844,-1.169308214914849
2854.339332439596,-0.6262149115309447,-1.168289522253407
3224.897399338195,-0.6333398632475769,-1.174245349721046
3643.56231862924,-0.6229482024044443,-1.164238367432764
4116.579452251491,-0.6229630929348599,-1.16488819017348
4651.004951954431,-0.6259365601600809,-1.167546891506865
5254.811018228614,-0.6252549108713108,-1.167001566113038
5937.004824235545,-0.6151200709702196,-1.156089079887473
6707.762878764408,-0.6261947415383401,-1.167561541685018
7578.582832551987,-0.6097469195482584,-1.150578013598736
8562.45499251032,-0.6122548362928287,-1.153829665607194
9674.056102396235,-0.6064441640117793,-1.146861305517175
10929.96828061248,-0.616847159744779,-1.157574161260876
12348.92638110751,-0.6077623410753237,-1.14719687298166
13952.09746733755,-0.6109358540785059,-1.151204250549354
15763.39656829573,-0.5978531002812566,-1.136042489964756
17809.84342684466,-0.5954498035980746,-1.132694480380998
20121.96556208413,-0.5784155436350845,-1.114258613809474
22734.2536583677,-0.6463310290020536,-1.184848894339581
25685.67607415555,-0.5916916892390004,-1.126091808711302
29020.26014580045,-0.5999573063856958,-1.133521057350748
32787.748957767,-0.5967489512140515,-1.126878362289904
37044.34337654,-0.6018684626162063,-1.12760455656767
41853.54041738589,-0.6124429176745554,-1.137040107083443
47287.08045015878,-0.5948296008715386,-1.114547738816207
53426.01737393118,-0.6071343689976321,-1.126777575888909
60361.92772459507,-0.5995212944666797,-1.117821354963962
68198.27675208832,-0.5910277656403197,-1.110678832090582
77051.96184546861,-0.5810338342162027,-1.103692378613341
87055.05632961245,-0.5690978084763174,-1.100758608409672
98356.7796463276,-0.5457662660109573,-1.084047755435804
111125.7233097157,-0.531506430961349,-1.08422888957874
125552.3658410932,-0.5358917671654284,-1.100520812617926
141851.9141995768,-0.5056278226811737,-1.094880920848715
160267.5140948893,-0.5080558574553907,-1.089574644925191
181073.8770716721,-0.506473347626789,-1.09865848912027
204581.3784717121,-0.5109575425747547,-1.102434246361806
231140.6874047302,-0.5276066920534063,-1.117792220612092
261147.9977945233,-0.5245305352732417,-1.124401715496866
295050.9385336919,-0.5266494882611943,-1.14403222434574
333355.2509106702,-0.5252052740759401,-1.159475275596759
376632.3329184272,-0.5193844777440272,-1.175059429140182
425527.7629857684,-0.4893049005548877,-1.193265043583017
480770.9302825305,-0.4896611666873601,-1.208777472468061
543185.9152570983,-0.4728044905616834,-1.23657119793464
613703.7827147774,-0.4349933073771722,-1.242332158797674
693376.4708169225,-0.4108401683556718,-1.264122633939436
783392.4831875638,-0.4042466265744966,-1.288184473942579
885094.6182118405,-0.410538941584335,-1.319161798040384
1000000,-0.4122107101359764,-1.330189240563117
