Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-6.822123090793301,180,-90.27429756090761,0
24.4140625,-7.135805545121395,-0.3814771391707149,-82.96952078336112,-111.915585998638
48.828125,-10.63318412015961,178.8835528359969,-80.48350029431738,77.23526267485791
73.2421875,-21.03841152425735,-3.568961243778433,-81.32847963903934,-104.1685226878657
97.65625,-42.74719541973664,151.5932092314614,-83.15900730672499,52.24884110514493
122.0703125,-53.3830248676435,-88.20040668106651,-80.62244061466049,-164.2675473533116
146.484375,-55.6304173247817,91.48056474799081,-78.98085341630639,6.674212643545468
170.8984375,-56.7844054530195,-90.94010803897035,-79.62764411246249,-165.0367545184478
195.3125,-57.74439705663288,88.43989722326812,-79.76075089476485,27.74654584709994
219.7265625,-58.10799094779546,-92.70704525119059,-82.02580879750431,-140.4148028129154
244.140625,-58.60136589562758,91.24121951497328,-87.23354101448821,54.71672236340836
268.5546875,-59.17544642140189,-82.94656443551148,-92.72233380118116,-128.4224158490057
292.96875,-59.68596240474412,99.14689340770046,-97.69069898468915,33.91942610122766
317.3828125,-61.60310935135892,-79.75531258234389,-93.36048597279594,-176.1510327272364
341.796875,-64.30979775636503,92.59933327242967,-86.45800698683418,-3.793232019793652
366.2109375,-65.7050526658078,-110.6437773497573,-83.60330484744108,169.6783616346342
390.625,-67.02918628984526,52.55069364237072,-84.27368111603627,-28.23699581442609
415.0390625,-68.61293433010349,-123.7100679578607,-86.2274541962,105.7885658966655
439.453125,-67.89557424154759,62.8670602295816,-85.89368158597918,-114.4796949864074
463.8671875,-66.90784095674883,-121.4638732761511,-86.60811587816269,33.49893756564234
488.28125,-65.69454956134167,60.71020991155515,-84.38554582896215,-166.8116420291024
512.6953125,-64.19429275060007,-119.0983652079446,-85.46253048881454,17.88422283405681
537.109375,-63.32918526292372,57.42820584707169,-90.23648230407575,-145.9807063746503
561.5234375,-62.84761149881795,-126.5213282553221,-88.91909541118359,22.61363886652771
585.9375,-63.06187179875803,42.78898999907175,-87.37972598516811,-164.8725235678106
610.3515625,-62.90633977502562,-155.9244049425714,-87.98043865293025,-0.007546022754610852
634.765625,-61.73462531864439,15.12044753269309,-83.50384764129882,164.474940860526
659.1796875,-59.86664997015941,-162.8666516984848,-82.66712864560851,-1.273235107413835
683.59375,-58.50865898845206,18.64360129625791,-83.30847049991669,-148.9842827900784
708.0078125,-57.21434639481178,-163.5146403436187,-82.89758531317827,41.45111749706853
732.421875,-55.68648605472094,14.08829389495366,-82.47801758897251,-127.0938790952192
756.8359375,-53.79023067383627,-171.1713805646708,-84.02846507242371,70.40475867610053
781.25,-52.11650533550415,4.693190022949482,-90.75923279708461,-88.75155720383184
805.6640625,-50.87123031289597,-177.4858828685181,-97.27975546581403,91.10113836299998
830.078125,-49.48242630937269,0.1204858511958596,-94.33822862272118,-158.1954524798814
854.4921875,-47.64011087182597,177.3377857442274,-89.54876161240153,-29.65298984654249
878.90625,-45.21171211141777,-2.680021058550638,-86.19865487964535,139.0174613353125
903.3203125,-32.29982448616057,-15.80011201453226,-58.57699292877544,15.10335167744773
927.734375,-7.818072864820066,166.8725016048211,-36.63225738552752,-163.200504654523
952.1484375,2.477104690690312,-13.0553104034896,-26.53858303137788,16.9108174531396
976.5625,5.836685288030341,166.9569441611363,-23.23770509136208,-163.0504058112184
1000.9765625,6.134139048124795,-13.02952015994211,-22.96828582371227,16.96034644924903
1025.390625,5.807783014562867,166.9555712274967,-23.32178392166882,-163.0400013044408
1049.8046875,2.163078394316896,-13.0985445132521,-27.02352285983625,16.95361508320334
1074.21875,-8.412714643371666,166.5804763524246,-37.78664704205644,-163.1040880124174
1098.6328125,-29.79112325838504,-17.85466892700081,-61.09512693032784,16.84257449256141
1123.046875,-45.2817822952078,145.6190649082185,-92.86336577728044,-40.38699796243314
1147.4609375,-47.68783960930381,-35.59133446241285,-82.81402129612515,171.2551603078883
1171.875,-49.56888320449231,140.1459156057714,-80.71559508734512,-7.924362391931846
1196.2890625,-50.86173520299594,-43.65643720119508,-81.71381456594713,171.80640456152
1220.703125,-51.92926948191457,132.6505379757986,-83.78109269176346,3.373617310457973
1245.1171875,-53.26521420632878,-51.7121751721044,-92.1764513549281,-158.4836706435302
1269.53125,-54.79535004153418,124.0738220825529,-90.55920263288974,154.6494958968479
1293.9453125,-56.05431732258091,-57.05422610684229,-85.0154896719487,-21.3910487048464
1318.359375,-57.2635270840588,122.868138784314,-87.27050233165693,162.5877443302077
1342.7734375,-59.17941974500184,-53.43010203869097,-115.4968676415867,-177.0699743433327
1367.1875,-61.89769194227711,128.1755169901113,-85.56518665347248,-1.585433932504241
1391.6015625,-63.62079734092734,-63.12727617966844,-81.37833292315227,-169.9538491077653
1416.015625,-64.03718825958634,96.92380325612744,-80.83805889133798,30.768340461283
1440.4296875,-63.80999851932313,-92.8147564425108,-82.23395605584408,-122.0853475280557
1464.84375,-63.82786161827767,82.95698287969461,-83.96115278436845,79.06539333728374
1489.2578125,-64.53460942028384,-100.8816603440116,-86.85821136179962,-83.27181728998568
1513.671875,-66.08339512620692,78.94041371573324,-97.12846084568807,117.0495838301214
1538.0859375,-67.21745592665516,-102.5591193247795,-94.84713621839241,137.1202449120343
1562.5,-68.54128399984641,69.88400436349373,-92.56770700897255,-47.08689688813425
1586.9140625,-69.52369019598871,-101.4966790097685,-91.95330174476857,95.03578580505278
1611.328125,-67.57617286517115,84.39454585548926,-88.73544299511167,-112.3116609394448
1635.7421875,-65.96509297262918,-113.4120393217459,-86.16998087726559,45.84191273653843
1660.15625,-63.42903063955486,45.16432726563909,-86.27774462208534,-140.1587749986776
1684.5703125,-60.60018318899634,-137.6350639150572,-90.83018027187859,20.78445581891661
1708.984375,-59.18560344067858,43.61483845367407,-90.28206417817663,114.681657747712
1733.3984375,-58.94568306691947,-135.6279736033772,-84.51966774271612,-99.55211872091375
1757.8125,-58.65680819942261,48.83954780135553,-81.99288541787621,75.61279787712337
1782.2265625,-58.58429746098754,-129.1161234818374,-81.36838980775391,-98.06567106071422
1806.640625,-58.19306550682241,46.45376596179928,-83.82426971621106,86.7509121706793
1831.0546875,-57.00030085365719,-135.9144025150493,-87.55692168898734,-77.5048641230519
1855.46875,-55.62140280951012,40.096187266954,-88.57018782163289,120.1442244077081
1879.8828125,-53.15945752346141,-141.3433023318217,-96.28845608348973,-20.75549005053305
1904.296875,-49.00870643301211,94.90164854023816,-88.9956332453267,-89.91362464068371
1928.7109375,-28.74910712104618,-30.15511683810762,-84.06651530362441,107.5550816454286
1953.125,-18.62740487217966,155.113822892691,-81.08669624057919,-58.15397628208638
1977.5390625,-15.41068531834298,-23.26470111984536,-79.36534452801867,122.3556804221324
2001.953125,-15.13033816790184,157.6408434515619,-79.65227385806719,-76.94108073240898
2026.3671875,-15.46630329046113,-21.47152157147578,-79.49677231741521,82.61136036674104
2050.78125,-19.25940216725186,160.2359769712568,-78.75542599311342,-115.4641907500061
2075.1953125,-29.93844799830507,-14.27830538426757,-77.15559928376584,47.79528307463052
2099.609375,-47.8248087176545,-161.922336969534,-77.2656869683282,-140.9499729832065
2124.0234375,-54.82004212729821,42.44213908687712,-78.77156395477952,29.01276742567325
2148.4375,-56.7616161897523,-136.4375587778883,-80.3340064094934,-160.8292597977573
2172.8515625,-57.51457963920292,43.82011758215919,-81.75741986758294,10.27972510045296
2197.265625,-58.28175531007738,-134.1901303512426,-81.55227932916324,-179.6979965113847
2221.6796875,-58.84231784360382,47.34706794607317,-81.68745222374041,-2.801104602010332
2246.09375,-59.80991896339701,-127.6043384109926,-82.87374664584146,178.788929058833
2270.5078125,-60.87336865924743,59.55002754751442,-84.17385956194381,-0.7504381817940982
2294.921875,-61.83588171877987,-116.8072788726066,-86.6699610542784,-174.8426417620936
2319.3359375,-64.45528907102654,63.84988308269478,-98.47191563661934,8.628284240962467
2343.75,-67.55793747508343,-132.9541216230306,-88.93029612225752,24.46662560338783
2368.1640625,-67.59652226918705,15.07345934208559,-86.10916768206081,-150.1117127838235
