Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-76.31019357672186,180,-76.79019167858064,0
24.4140625,-67.80881244999759,-61.30155265154959,-76.54150638865934,-170.2547889312658
48.828125,-63.9952801357187,102.1696974472456,-78.71909746566571,15.7757635464266
73.2421875,-65.20192273915627,-90.32643758036298,-85.72771700533437,-159.6695636414302
97.65625,-71.88958581280299,95.92383090200877,-95.54133351165787,12.1075461559541
122.0703125,-82.29962063947804,30.37422873221891,-101.3342396291035,77.16799112717513
146.484375,-71.47202234597658,-94.07781751397125,-90.51471805499887,-153.4899036973439
170.8984375,-67.10181181909003,97.50803742341107,-87.0627772192273,23.63459223267043
195.3125,-68.04865849591518,-60.17189337044714,-85.41832225453759,-137.9381094262366
219.7265625,-68.47701478320492,175.9760350388212,-83.44128355679432,51.65372265197878
244.140625,-64.77001295417864,26.50231909694163,-81.85172874083712,-119.0632527906168
268.5546875,-63.20906860977004,-129.6699498900399,-80.91706086472327,76.18061608139321
292.96875,-62.93372062653144,77.26083052400394,-82.84701435032542,-94.78812845821594
317.3828125,-65.63562777611645,-90.62872034835232,-88.18049926017568,87.86215071741276
341.796875,-78.40145791808504,120.2809198691635,-100.1308186476607,-100.6249542348696
366.2109375,-68.35831820222512,67.57717736210282,-91.11375325092494,-70.74374828195518
390.625,-63.30385874935247,-95.68973821808487,-83.78373873173916,108.7144795306653
415.0390625,-63.06751265754924,88.89717902835744,-82.16082728149408,-78.70507095326573
439.453125,-66.42630227457276,-109.5634964905005,-82.9023542429841,82.7001402749062
463.8671875,-69.71154626378447,19.75672349085549,-83.45437585866975,-122.8606371854135
488.28125,-67.48906611612118,154.5617686348253,-84.57155853393907,25.77804802872284
512.6953125,-67.16215379557077,-29.33142424926945,-85.96994890523084,168.5666090876786
537.109375,-70.39647832218351,171.6068770657117,-88.19174595137427,-17.54556933830106
561.5234375,-72.61191204789208,29.01803715855801,-90.28720819530251,178.6010859237946
585.9375,-75.05203259684242,-122.28202883548,-90.4836668006115,-10.783278381734
610.3515625,-80.62967478949604,-170.0742004041542,-90.692641520834,163.7503987888109
634.765625,-67.43762988729007,62.13412996112793,-90.84960403511022,-40.85961489749479
659.1796875,-62.91476762986939,-107.7609806384822,-85.55261672314299,106.4085387768523
683.59375,-60.52433418672902,77.37163211801408,-83.67441385151027,-88.46413063635987
708.0078125,-60.93213928327156,-99.72811716394034,-85.03308449804297,77.3476745180977
732.421875,-65.72790858922019,80.74028719162611,-89.10201218478436,-111.3375792040045
756.8359375,-82.69049871079561,-143.9378590683005,-102.1252203117847,-3.862058271848982
781.25,-69.8716983573476,-67.78806702699426,-89.82331124366573,115.9409739796475
