Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-33.13757538511228,0,-76.45074396655887,180
0.48828125,-33.46946105818248,179.9601512143223,-77.06215407536835,-12.24866194599617
0.9765625,-37.00498191806079,-0.1690741148061918,-78.88826039349263,144.9473998286595
1.46484375,-47.53587634542708,179.1974155780987,-83.9552297025362,-51.91959149897301
1.953125,-72.3735324305184,-19.10504582420583,-98.14283574585176,128.6109555063008
2.44140625,-78.29483845988526,61.51418233305536,-94.98221867151072,171.1459551446689
2.9296875,-78.19739729184093,-89.5015623929178,-86.85533553602154,-16.91859347188666
3.41796875,-78.2729980762557,102.3929493284103,-84.27666411477307,155.0825890886042
3.90625,-80.44718024094918,-75.52902389835276,-84.68846965196056,-18.83052653483931
4.39453125,-83.88229363422441,113.3033393881906,-87.35161361882572,161.7804731485437
4.8828125,-86.83381337273049,-50.19321230190383,-94.48849917210011,-43.75995277019312
5.37109375,-89.44140331506007,125.638874801794,-95.37383370298427,4.062603246774646
5.859375,-90.02559526862902,-90.4587074854319,-90.98272015454273,163.3608766736053
6.34765625,-86.0972567333723,47.1550117925574,-97.64687220519116,-15.43698722436963
6.8359375,-81.4577961264892,-153.770136886059,-96.6888381888935,-30.26235937936734
7.32421875,-79.59276168819906,16.92159912111254,-89.13765616574884,153.1184801734094
7.8125,-79.56891664635387,-167.7513615849601,-89.16066846927652,-29.4598521601904
8.30078125,-81.25676482951269,0.5865037566807255,-94.16458866104716,164.7961042807629
8.7890625,-81.77812499646548,156.1021140612143,-94.08707317499349,113.4969903720378
9.27734375,-80.74488359924436,-28.73540084779418,-85.06592862020491,-44.59923559419803
9.765625,-81.57093773935317,154.0884010588788,-84.26371342558114,130.5971616654581
10.25390625,-82.90829553337716,-17.88345271794099,-87.30996764054085,-69.47072027283016
10.7421875,-85.78363211694173,-174.4210823826694,-89.70790738377468,71.48933105645953
11.23046875,-89.51369658909502,89.12450924891907,-85.60761611507759,-157.0536504537104
11.71875,-84.71766407701887,-57.27757121087701,-82.55212658524476,6.269868392496023
12.20703125,-84.70456029952086,128.2501471893515,-85.16187814132408,177.0649358594433
