Time (s),Channel 1 (V),Channel 2 (V)
-0.005119218299711816,-2.882911179426926,-0.07147831865574249
-0.005117968299711816,-2.879213486928872,-0.07080138610899812
-0.005116718299711815,-2.894004256921088,-0.06944752101550969
-0.005115468299711816,-2.89770194941914,-0.07012445356225375
-0.005114218299711815,-2.89770194941914,-0.06809365592202064
-0.005112968299711816,-2.88660887192498,-0.0670782571019041
-0.005111718299711816,-2.879213486928872,-0.0691090547421372
-0.005110468299711816,-2.879213486928872,-0.06707825710190503
-0.005109218299711816,-2.890306564423033,-0.0670782571019041
-0.005107968299711815,-2.886608871924978,-0.06470899318829926
-0.005106718299711816,-2.882911179426926,-0.06572439200841536
-0.005105468299711815,-2.879213486928874,-0.06437052691492631
-0.005104218299711816,-2.882911179426926,-0.06369359436818224
-0.005102968299711816,-2.879213486928872,-0.06335512809481006
-0.005101718299711816,-2.882911179426926,-0.0626781955480657
-0.005100468299711816,-2.882911179426926,-0.06200126300132132
-0.005099218299711816,-2.879213486928874,-0.06098586418120523
-0.005097968299711816,-2.875515794430819,-0.06132433045457696
-0.005096718299711815,-2.879213486928869,-0.05997046536108837
-0.005095468299711816,-2.871818101932765,-0.0603089316344604
-0.005094218299711815,-2.882911179426921,-0.05760120144748307
-0.005092968299711816,-2.871818101932765,-0.0579396677208551
-0.005091718299711816,-2.868120409434712,-0.0579396677208551
-0.005090468299711816,-2.879213486928867,-0.05590887008062292
-0.005089218299711816,-2.875515794430819,-0.05624733635399418
-0.005087968299711816,-2.882911179426922,-0.05557040380725012
-0.005086718299711816,-2.871818101932765,-0.05455500498713325
-0.005085468299711815,-2.871818101932769,-0.05523193753387733
-0.005084218299711816,-2.879213486928872,-0.05455500498713325
-0.005082968299711815,-2.871818101932765,-0.05353960616701671
-0.005081718299711816,-2.864422716936658,-0.05286267362027233
-0.005080468299711816,-2.879213486928872,-0.05286267362027233
-0.005079218299711816,-2.87551579443082,-0.05015494343329609
-0.005077968299711816,-2.875515794430819,-0.05083187598003923
-0.005076718299711816,-2.875515794430819,-0.04981647715992314
-0.005075468299711816,-2.871818101932765,-0.04846261206643393
-0.005074218299711815,-2.864422716936656,-0.04846261206643362
-0.005072968299711816,-2.860725024438604,-0.04778567951968957
-0.005071718299711815,-2.864422716936658,-0.0471087469729452
-0.005070468299711816,-2.860725024438604,-0.04643181442620083
-0.005069218299711816,-2.857027331940551,-0.04440101678596772
-0.005067968299711816,-2.868120409434707,-0.04541641560608382
-0.005066718299711816,-2.864422716936658,-0.04440101678596772
-0.005065468299711815,-2.857027331940554,-0.04406255051259462
-0.005064218299711816,-2.864422716936658,-0.04203175287236242
-0.005062968299711815,-2.857027331940547,-0.04203175287236196
-0.005061718299711816,-2.849631946944444,-0.04101635405224588
-0.005060468299711816,-2.857027331940551,-0.0403394215055015
-0.005059218299711816,-2.853329639442497,-0.04000095523212932
-0.005057968299711816,-2.857027331940551,-0.03966248895875714
-0.005056718299711816,-2.864422716936654,-0.03898555641201307
-0.005055468299711816,-2.857027331940551,-0.03797015759189622
-0.005054218299711815,-2.853329639442489,-0.03695475877177843
-0.005052968299711816,-2.834841176952229,-0.03424702858480218
-0.005051718299711815,-2.84593425444639,-0.03526242740491858
-0.005050468299711816,-2.84593425444639,-0.03492396113154655
-0.005049218299711816,-2.853329639442497,-0.03492396113154655
-0.005047968299711816,-2.842236561948341,-0.0332316297646864
-0.005046718299711816,-2.842236561948337,-0.03221623094456907
-0.005045468299711816,-2.842236561948337,-0.03187776467119705
-0.005044218299711816,-2.849631946944444,-0.03153929839782471
-0.005042968299711815,-2.84593425444639,-0.03052389957770784
-0.005041718299711816,-2.84593425444639,-0.02984696703096379
-0.005040468299711815,-2.838538869450283,-0.0295085007575916
-0.005039218299711816,-2.834841176952229,-0.02747770311735849
-0.005037968299711816,-2.838538869450283,-0.02680077057061412
-0.005036718299711816,-2.831143484454179,-0.02612383802387006
-0.005035468299711816,-2.834841176952229,-0.02713923684398631
-0.005034218299711816,-2.831143484454178,-0.02510843920375412
-0.005032968299711816,-2.831143484454176,-0.02476997293038102
-0.005031718299711815,-2.834841176952224,-0.02307764156351978
-0.005030468299711816,-2.823748099458069,-0.02240070901677572
-0.005029218299711815,-2.823748099458069,-0.02240070901677572
-0.005027968299711816,-2.827445791956122,-0.02036991137654262
-0.005026718299711816,-2.823748099458069,-0.02003144510317043
-0.005025468299711816,-2.820050406960017,-0.0196929788297984
-0.005024218299711816,-2.816352714461961,-0.01901604628305388
-0.005022968299711815,-2.812655021963904,-0.01766218118956483
-0.005021718299711816,-2.805259636967801,-0.01698524864282077
-0.005020468299711815,-2.797864251971697,-0.01495445100258843
-0.005019218299711816,-2.805259636967801,-0.01664678236944859
-0.005017968299711816,-2.801561944469747,-0.01495445100258766
-0.005016718299711816,-2.805259636967801,-0.01495445100258766
-0.005015468299711816,-2.79416655947364,-0.01529291727595985
-0.005014218299711816,-2.790468866975588,-0.0125851870889836
-0.005012968299711816,-2.786771174477533,-0.01224672081561019
-0.005011718299711815,-2.786771174477529,-0.01055438944874942
-0.005010468299711816,-2.779375789481425,-0.01089285572212145
-0.005009218299711815,-2.775678096983359,-0.008523591808515849
-0.005007968299711816,-2.746096556998943,-0.007846659261771787
-0.005006718299711816,-2.746096556998943,-0.006831260441655233
-0.005005468299711816,-2.727608094508675,-0.007508192988399602
-0.005004218299711816,-2.720212709512568,-0.006831260441655233
-0.005002968299711816,-2.683235784532049,-0.004800462801423048
-0.005001718299711816,-1.891929589948565,-0.004461996528049941
-0.005000468299711815,-1.237438017792452,-0.004800462801421048
-0.004999218299711816,0.1454989764789595,-0.002431198887816833
-0.004997968299711815,1.036642868509873,-0.003785063981305571
-0.004996718299711816,1.761390598128376,-0.001415800067700279
-0.004995468299711816,2.460254480260503,-0.0004004012475837255
-0.004994218299711816,2.51202217523323,0.0002765312991603359
-0.004992968299711816,2.537906022719628,0.001291930119277197
-0.004991718299711816,2.545301407715732,0.001968862666021259
-0.004990468299711816,2.56009217770795,0.00298426148613812
-0.004989218299711815,2.574882947700162,0.003661194032882798
-0.004987968299711816,2.57118525520211,0.004338126579626859
-0.004986718299711815,2.589673717692378,0.005353525399743412
-0.004985468299711816,2.585976025194325,0.006368924219859966
-0.004984218299711816,2.593371410190432,0.006368924219859966
-0.004982968299711816,2.58967371769238,0.007722789313348089
