Time (s),Channel 1 (V),Channel 2 (V)
-0.005119277777777778,-2.890306564423033,-0.07113985238237031
-0.005118027777777778,-2.882911179426926,-0.07080138610899812
-0.005116777777777777,-2.886608871924981,-0.07012445356225344
-0.005115527777777778,-2.890306564423033,-0.06944752101550938
-0.005114277777777777,-2.88660887192498,-0.06843212219539282
-0.005113027777777778,-2.890306564423033,-0.06775518964864846
-0.005111777777777778,-2.894004256921086,-0.06809365592202064
-0.005110527777777778,-2.886608871924983,-0.06673979082853251
-0.005109277777777778,-2.88660887192498,-0.0670782571019041
-0.005108027777777777,-2.890306564423031,-0.06640132455515879
-0.005106777777777778,-2.88660887192498,-0.06437052691492662
-0.005105527777777777,-2.88660887192498,-0.06538592573504255
-0.005104277777777778,-2.88660887192498,-0.06403206064155444
-0.005103027777777778,-2.890306564423033,-0.06301666182143788
-0.005101777777777778,-2.890306564423033,-0.0647089931882988
-0.005100527777777778,-2.879213486928872,-0.06200126300132132
-0.005099277777777778,-2.879213486928872,-0.06267819554806539
-0.005098027777777778,-2.879213486928872,-0.05963199908771603
-0.005096777777777777,-2.882911179426922,-0.05997046536108806
-0.005095527777777778,-2.875515794430819,-0.05963199908771603
-0.005094277777777777,-2.894004256921078,-0.05895506654097196
-0.005093027777777778,-2.875515794430819,-0.05963199908771603
-0.005091777777777778,-2.882911179426926,-0.05658580262736637
-0.005090527777777778,-2.879213486928874,-0.05658580262736637
-0.005089277777777778,-2.875515794430819,-0.05624733635399418
-0.005088027777777778,-2.875515794430819,-0.05624733635399418
-0.005086777777777778,-2.882911179426926,-0.05590887008062199
-0.005085527777777777,-2.87551579443082,-0.05387807244038874
-0.005084277777777778,-2.879213486928872,-0.05353960616701671
-0.005083027777777777,-2.871818101932765,-0.05252420734690015
-0.005081777777777778,-2.879213486928872,-0.05184727480015579
-0.005080527777777778,-2.871818101932765,-0.05218574107352797
-0.005079277777777778,-2.875515794430817,-0.05117034225341188
-0.005078027777777778,-2.868120409434712,-0.05015494343329487
